;title;date;description;price;keys;path
0;En Venta Hermoso Lote;2023-02-27;En venta Hermoso lote de 1362.00 m2, Zona Lomas de Aranjuez, excelentes vistas, Dos frentes cada uno de 27.00 mts. fondo de 53.00 mts. Precio 580.000 $us. Llamar ( 591)77966727;$us 580 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/en-venta-hermoso-lote/1983419
1;Vendo Departamento Av Ballivián;2023-02-27;Vendo departamento Av Ballivián a pasos de plaza Colón, dos dormitorios, y dependencias, 87 mt superficie. Ref: WhatsApp 76027275;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-departamento-av-ballivian/1983226
2;25000 $ Departamento Anticrético;2023-02-27;25000 $ Departamento Anticrético 4 Dormitorios y Dependencias Av. Blanco Galindo Km 8. Referencias: 67525286;$us 25 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/25000-departamento-anticretico/1983225
3;Hermosa Casa Para Vivienda;2023-02-27;HERMOSA casa para vivienda y oficina, inmediaciones Cine Center, Cel./WP. 75900145, 530 m2.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/hermosa-casa-para-vivienda/1983231
4;Departamento Pentohuse Duplex 3;2023-02-27;DEPARTAMENTO pentohuse, duplex, 3 dormitorios, 3 baños, parrillero, jacuzzi, sauna, parqueo, 3 movilidades, WP. 75900145.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamento-pentohuse-duplex-3/1983241
5;Oficina Equipada Gerencia Subgerencia;2023-02-27;OFICINA equipada, gerencia, subgerencia, recibidor, 2 baños, cocineta, 2 garajes, baulera, inmediaciones Prado, WP. 75900145.;;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/oficina-equipada-gerencia-subgerencia/1983247
6;Local Comercial Salida A;2023-02-27;LOCAL COMERCIAL salida a calle, c/garaje, baño, cocineta, inmediaciones Estadium, Cel./WP. 75900145.;;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/local-comercial-salida/1983249
7;En Alquiler Oficinas Departamento;2023-02-27;EN ALQUILER oficinas, departamento y cuartos, Ref. al 74565600, calle Ladislao Cabrera y San Martín, pleno centro.;;Cochabamba -  Alquiler -  Oficina;/anuncio/inmuebles/en-alquiler-oficinas-departamento/1979559
8;Departamentos Condominio Ubuntu A;2023-02-27;DEPARTAMENTOS  Condominio Ubuntu. A 3 cuadras de la Plaza de Cala - Cala. Torre de 25 pisos de entrega inmediata. Supervisión de Obra: Ing. Pablo Soto Quiroga. Cel: 71460400. Últimos Departamentos.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamentos-condominio-ubuntu/1981066
9;Casa En Venta Av;2023-02-27;CASA en venta, Av. Barrientos, Y. Yacuiba Nro 0546, zona centro, una cuadra de la parada de taxis a Cliza y transporte, P. Baja, baño, cocina 3 cuartos amplios, 1 piso, sala comedor, cocina, baño, 2 cuartos, garaje, 2do piso, 3 dormitorios, baño, 180.000 $us. Cel. 76383618, Sup. 221 mts.;$us 180 000;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-en-venta-av/1981523
10;En Vental Lote De;2023-02-27;EN VENTAL lote de terreno, Sup. 1.000 m2, a tan solo 40.000 $us, zona Cotapachi, Quillacollo. Ref. Cel. 63896708.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/en-vental-lote-de/1982104
11;Anticretico Tienda Trastienda 9x4;2023-02-27;ANTICRETICO Tienda trastienda 9x4 m Melchor Pérez 1058 Excombatientes 722551604;;Cochabamba -  Anticrético -  Local Comercial;/anuncio/inmuebles/anticretico-tienda-trastienda-9x4/1982423
12;Departamentos Condominio Oomoto En;2023-02-27;DEPARTAMENTOS Condominio Oomoto. En Tiquipaya próximo al Colegio Tiquipaya. Más de 1 Hectárea de áreas comunes: 3 piscinas atemperadas, cabañas de churrasqueros, gimnasio y campos deportivos. Supervisión de Obra: Ing. Pablo Soto Quiroga. Cel: 71460400.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamentos-condominio-oomoto-en/1981067
13;Lote En Venta De;2023-02-27;LOTE en venta, de 355 metros, en Chacacollo, llamar. 68532922.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-en-venta-de/1981546
14;Vendo Con Urgencia Una;2023-02-27;VENDO con urgencia, una cripta para 3 personas, en el cementerio general. Cel. 71787849.;;Cochabamba -  Venta -  Varios;/anuncio/inmuebles/vendo-con-urgencia-una/1982158
15;Departamentos Condominio Villa Fratterna;2023-02-27;DEPARTAMENTOS Condominio Villa Fratterna. Es como vivir en un Hotel de *****. vive en comunidad. Supervisión de Obra: Ing. Pablo Soto Quiroga. Cel: 71460400.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamentos-condominio-villa-fratterna/1981068
16;Casa En Anticrético Consta;2023-02-27;CASA en anticrético, consta de 3 apartamentos en cada planta, independiente, con garaje, jardín y patio amplio, apto para restaurante, consta de 500 m2, ubicado en pacata Baja, Villa Barrientos, calle Monte Alegre, llame. 65614608.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casa-en-anticretico-consta/1981570
17;Se Alquila Casa Independiente;2023-02-27;SE ALQUILA Casa independiente zona Queru Queru. 4247630, 60793946.;;Cochabamba -  Alquiler -  Casa / Chalet;/anuncio/inmuebles/se-alquila-casa-independiente/1982172
18;Hermoso Departamento En Venta;2023-02-27;HERMOSO departamento en venta, de 2 dormitorios, edificio Patmos (plaza Cala Cala), trato directo con el propietario. Cel. 77927700.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/hermoso-departamento-en-venta/1981069
19;Departamento En Alquiler Cel;2023-02-27;DEPARTAMENTO en alquiler. Cel. 71415071, 67533480.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-en-alquiler-cel/1982225
20;Santa Cruz Calle Libertad;2023-02-27;SANTA CRUZ Calle Libertad entre Buenos Aires y Florida, $us 395.000, 588 mts2. Ubicado en el centro histórico, a una cuadra de la plaza principal 24 de Septiembre, Telf. 72142899.;$us 395 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/santa-cruz-calle-libertad/1980857
21;Alquilo Departamento Cerca El;2023-02-27;ALQUILO Departamento cerca el castillo fono: 4720487, 4720861, 77453087.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquilo-departamento-cerca-el/1982229
22;En Alquiler Departamento 3;2023-02-27;EN ALQUILER departamento, 3 habitaciones y dependencias, planta baja, Km 3, Blanco Galindo. Ref. 67400578.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/en-alquiler-departamento-3/1982230
23;Departamento A Estrenar En;2023-02-27;DEPARTAMENTO a estrenar en alquiler, E. Apurimak e Irigoyen. Ref. 67400578, en condominio.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-estrenar-en/1982231
24;Departamento En Alquiler Av;2023-02-27;DEPARTAMENTO En alquiler Av. Petrolera Km. 2.1/2 frente a la comuna Alejo Calatayud. Cel.: 70729861;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-en-alquiler-av/1982234
25;Alquiler Departamento Av Blanco;2023-02-27;ALQUILER departamento, Av. Blanco Galindo Km. 1, lado BNB # 01131. Ref: 4447243.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquiler-departamento-av-blanco/1982284
26;Urbanizacion Bella Vista Cochabamba;2023-02-27;URBANIZACION BELLA VISTA Cochabamba, hermosa casa, estilo vanguardista, detalles. Telèfono 65244969;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/urbanizacion-bella-vista-cochabamba/1978821
27;En Alquiler Consultorio Dental;2023-02-27;EN ALQUILER consultorio dental, equipado, pacata Baja. Cel. 79735978.;;Cochabamba -  Alquiler -  Oficina;/anuncio/inmuebles/en-alquiler-consultorio-dental/1982313
28;39 500 $us Tiendas;2023-02-27;39.500 $US tiendas, a la vuelta iglesia Cala Cala. 79786019.;$us 39 500;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/39-500-us-tiendas/1979422
29;Edificio Verona Calle Inti;2023-02-27;"EDIFICIO ""VERONA"" Calle Inti Raymi casi Av. América frente al Parque José Marti. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con piscina, sauna, parrillero y área social. Cel. 67598803.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-verona-calle-inti/1978824
30;Doy En Alquiler Tienda;2023-02-27;DOY EN ALQUILER tienda de 100 m2, Av. Juan de la Rosa Nro 1423. Cel. 60722691.;;Cochabamba -  Alquiler -  Local Comercial;/anuncio/inmuebles/doy-en-alquiler-tienda/1982315
31;Edificio Tribeca Soho Av;2023-02-27;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con: piscina, sauna, parrillero y área social. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-tribeca-soho-av/1978825
32;Alquilamos 2 Cuartos Zona;2023-02-27;ALQUILAMOS 2 cuartos, zona Mayorazgo, 3,50x3,50 mts. Cocina, baño, lavandería, opción a garaje, independientes, información 76488362, 4475071;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/alquilamos-2-cuartos-zona/1982337
33;10 000 $us Parqueo;2023-02-27;10.000 $US parqueo, más baulera, zona Cala Cala, a la vuelta de la iglesia. 79786019.;$us 10 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/10-000-us-parqueo/1979682
34;Edificio Tribeca Soho Av;2023-02-27;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean, oficinas de: 34, 52, 56, 100 mts. del piso 1 al 3. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/edificio-tribeca-soho-av/1978843
35;Departamento 15 000 Anticrético;2023-02-27;DEPARTAMENTO 15.000, anticrético, sobre Simón López, Cel. 61612861, más tienda, 10.000, propietario.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/departamento-15-000-anticretico/1982385
36;Con Urgencia Casa En;2023-02-27;CON URGENCIA casa en venta, como lote 316 m2, Av. Heroínas, Nro 1040, frente AFP's, cuenta con todos los servicios básicos, papeles al día, venta directa. Cel. 68440548, 68492211.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/con-urgencia-casa-en/1981934
37;Anticretico 2 Dormitorios Living;2023-02-27;ANTICRETICO 2 dormitorios living cocina baño patio lavandería Melchor Pérez 1058 Excombatientes 72251604;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/anticretico-2-dormitorios-living/1982390
38;DueÑo Vende Casa En;2023-02-27;DUEÑO Vende casa en la avenida “Aroma” con superficie 315 m2, Tel. 71403509.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/dueno-vende-casa-en/1981943
39;Anticretico Para Estudiantes Departamento;2023-02-27;ANTICRETICO para estudiantes, departamento pequeño, 3 cuartos, cerca UMSS, calle Ricardo Terrazas. Ref. 69478080.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/anticretico-para-estudiantes-departamento/1982399
40;Dueño Vende Hermosos Departamentos;2023-02-27;DUEñO vende hermosos departamentos de 2 y 3 dormitorios, recibo como parte de pago vehículos nuevos (2017 adelante) Av. Blanco Galindo km. 7 ½, media cuadra note. Cel. 70799883.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/dueno-vende-hermosos-departamentos/1982042
41;Anticretico Departamento 3 Dormitorios;2023-02-27;ANTICRETICO Departamento, 3 dormitorios, 2 baños, boxer, living, comedor, cocina, cajonería, lavandería, garaje, urbanización PIL. 72717858.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/anticretico-departamento-3-dormitorios/1982400
42;Alquiler Anticrético O Venta;2023-02-27;Alquiler, anticrético o venta departamentos, zona norte. Final Melchor Pérez y Segunda Circunvalación. Urbanización los Ceibos. 4521036 - 72251281 - 77418485.;$us 186;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquiler-anticretico-o-venta/1983258
43;Oficina Céntrica En Alquiler;2023-02-26;OFICINA céntrica en alquiler. 79380485.;;Cochabamba -  Alquiler -  Oficina;/anuncio/inmuebles/oficina-centrica-en-alquiler/1972253
44;Villa Candelaria 2da Circunvalación;2023-02-26;VILLA CANDELARIA 2da Circunvalación, hermosa casa, a estrenar, 4 dormitorios, 2 en suite, sector servicios y demás dependencias completas, $us 175.000. 72203818.;$us 175 000;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/villa-candelaria-2da-circunvalacion/1972890
45;Casa En Venta 490;2023-02-26;CASA en venta, 490 m2, Km 11, Blanco Galindo, negociable. 68571778, dueño directo.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-en-venta-490/1974617
46;Departamento Zona Norte 2;2023-02-26;DEPARTAMENTO zona norte, 2 dormitorios, 2 baños y dependencias, piscina, sauna. Celulares: 71727703 – 71420194, 1/2 cuadra parque Fidel Anze.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-zona-norte-2/1974973
47;Alquilo Garzonier Independiente Altura;2023-02-26;ALQUILO Garzonier independiente altura km 10 1/2 inmediaciones Aceite Fino Capitán Ustariz Ref. 72467564;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquilo-garzonier-independiente-altura/1977030
48;Inmobiliaria Alquila Galpones Industriales;2023-02-26;INMOBILIARIA alquila galpones industriales, 1.000, 750, 650 metros cuadrados, sector Colcapirhua, Sacaba, avenida Villazón. 72235332.;;Cochabamba -  Alquiler -  Depósitos Galpones;/anuncio/inmuebles/inmobiliaria-alquila-galpones-industriales/1977134
