;title;date;description;price;keys;path
0;Oficina Céntrica En Alquiler;2023-02-23;OFICINA céntrica en alquiler. 79380485.;;Cochabamba -  Alquiler -  Oficina;/anuncio/inmuebles/oficina-centrica-en-alquiler/1972253
1;Departamento Céntrico En Alquiler;2023-02-23;DEPARTAMENTO céntrico, en alquiler. 70774733.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-centrico-en-alquiler/1976100
2;Urbanizacion Bella Vista Cochabamba;2023-02-23;URBANIZACION BELLA VISTA Cochabamba, hermosa casa, estilo vanguardista, detalles. Telèfono 65244969;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/urbanizacion-bella-vista-cochabamba/1978821
3;Edificio Verona Calle Inti;2023-02-23;"EDIFICIO ""VERONA"" Calle Inti Raymi casi Av. América frente al Parque José Marti. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con piscina, sauna, parrillero y área social. Cel. 67598803.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-verona-calle-inti/1978824
4;Edificio Tribeca Soho Av;2023-02-23;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con: piscina, sauna, parrillero y área social. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-tribeca-soho-av/1978825
5;Edificio Tribeca Soho Av;2023-02-23;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean, oficinas de: 34, 52, 56, 100 mts. del piso 1 al 3. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/edificio-tribeca-soho-av/1978843
6;Vendo Casa A Estrenar;2023-02-23;VENDO casa a estrenar, de 3 pisos, véalo sin compromiso, zona Coña Coña, Km 6, Av. Blanco Galindo al norte, 6 cuadras. 75481717.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/vendo-casa-estrenar/1979195
7;Vendo Once Lotes De;2023-02-23;VENDO Once lotes de 250 mt2 juntos El Abra frente INBOLTECO Av. Octava Cel. 76977447;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/vendo-once-lotes-de/1979358
8;En Tiquipaya Casa Independiente;2023-02-23;EN TIQUIPAYA casa independiente, en alquiler, zona central, frente al Banco PRODEM, ideal para vivienda y negocio. Ref. Cel. 72214136, 70758369.;;Cochabamba -  Alquiler -  Casa / Chalet;/anuncio/inmuebles/en-tiquipaya-casa-independiente/1979448
9;Alquilo Garzonier Con Garaje;2023-02-23;ALQUILO garzonier, con garaje, edificio Gusot, Ramón Rivero 945. Cel. 72273320.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquilo-garzonier-con-garaje/1979520
10;Requiero Alquiler Deposito Galpón;2023-02-23;REQUIERO Alquiler deposito, galpón o garaje pequeño para guardar muebles inmediaciones Quintanilla, Tupuraya, Estadio 76977447;;Cochabamba -  Alquiler -  Demanda;/anuncio/inmuebles/requiero-alquiler-deposito-galpon/1979612
11;Santa Cruz Calle Libertad;2023-02-23;SANTA CRUZ Calle Libertad entre Buenos Aires y Florida, $us 395.000, 588 mts2. Ubicado en el centro histórico, a una cuadra de la plaza principal 24 de Septiembre, Telf. 72142899.;$us 395 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/santa-cruz-calle-libertad/1980857
12;Casa En Anticrético O;2023-02-23;CASA En anticrético o alquiler, zona sud, Itocta, dormitorios, cocina, baño, salita, garaje 8.000 $us. 72721631.;$us 8 000;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casa-en-anticretico-o/1980871
13;Departamento Tercer Piso Anticrético;2023-02-23;DEPARTAMENTO Tercer piso anticrético d’Orbigny, Juan Pablo II . 72262797.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/departamento-tercer-piso-anticretico/1980875
14;Casa En Venta Zona;2023-02-23;CASA en venta, zona Arocagua. Ref. 70341790, el propietario.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-en-venta-zona/1981060
15;Departamentos Condominio Ubuntu A;2023-02-23;DEPARTAMENTOS  Condominio Ubuntu. A 3 cuadras de la Plaza de Cala - Cala. Torre de 25 pisos de entrega inmediata. Supervisión de Obra: Ing. Pablo Soto Quiroga. Cel: 71460400. Últimos Departamentos.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamentos-condominio-ubuntu/1981066
16;Departamentos Condominio Oomoto En;2023-02-23;DEPARTAMENTOS Condominio Oomoto. En Tiquipaya próximo al Colegio Tiquipaya. Más de 1 Hectárea de áreas comunes: 3 piscinas atemperadas, cabañas de churrasqueros, gimnasio y campos deportivos. Supervisión de Obra: Ing. Pablo Soto Quiroga. Cel: 71460400.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamentos-condominio-oomoto-en/1981067
