;title;date;description;price;keys;path
0;Departamento En Venta 110;2023-02-31;DEPARTAMENTO  En venta 110 m2, 3 dormitorios. Próximo a parque Lincoln y av. América 73340415;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamento-en-venta-110/1983803
1;Lotes Sipe Sipe Lote;2023-02-31;LOTES  Sipe Sipe, lote 1 4880 M2, lote 2 1811 M2 en zona Sorata altura parada 4 sobre camino antiguo. Papeles al día con Folio Real Ref. 75900008;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lotes-sipe-sipe-lote/1983805
2;Doy Hermoso Dpto En;2023-02-31;Doy hermoso Dpto. en anticrético estilo Americano, Av. Juan de la Rosa, 3 Dormitorios, 130 m2s, 27.500 $us, con garaje, salón de eventos whatsapp 73754155;$us 27 500;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/doy-hermoso-dpto-en/1984002
3;Oficina Céntrica En Alquiler;2023-02-30;OFICINA céntrica en alquiler. 79380485.;;Cochabamba -  Alquiler -  Oficina;/anuncio/inmuebles/oficina-centrica-en-alquiler/1972253
4;Departamento Céntrico En Alquiler;2023-02-30;DEPARTAMENTO céntrico, en alquiler. 70774733.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/departamento-centrico-en-alquiler/1976100
5;Edificio Verona Calle Inti;2023-02-30;"EDIFICIO ""VERONA"" Calle Inti Raymi casi Av. América frente al Parque José Marti. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con piscina, sauna, parrillero y área social. Cel. 67598803.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-verona-calle-inti/1978824
6;Edificio Tribeca Soho Av;2023-02-30;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con: piscina, sauna, parrillero y área social. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-tribeca-soho-av/1978825
7;Edificio Tribeca Soho Av;2023-02-30;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean, oficinas de: 34, 52, 56, 100 mts. del piso 1 al 3. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/edificio-tribeca-soho-av/1978843
8;39 500 $us Tiendas;2023-02-30;39.500 $US tiendas, a la vuelta iglesia Cala Cala. 79786019.;$us 39 500;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/39-500-us-tiendas/1979422
9;10 000 $us Parqueo;2023-02-30;10.000 $US parqueo, más baulera, zona Cala Cala, a la vuelta de la iglesia. 79786019.;$us 10 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/10-000-us-parqueo/1979682
10;Anticretico Departamentos Cómodos 2;2023-02-30;ANTICRETICO departamentos cómodos, 2 - 3 dormitorios, con garaje, Av. Killman, entrega inmediata. 77967040, 4509099, propietaria.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/anticretico-departamentos-comodos-2/1981578
11;Venta Casa 3 Dormitorios;2023-02-30;VENTA Casa, 3 dormitorios, baños, cocina, churrasquero, en Colcapirhua. Lote inmediaciones colegio Tiquipaya. 70387409.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/venta-casa-3-dormitorios/1981955
12;$us 95500 Departamento Céntrico;2023-02-30;$US. 95500 Departamento céntrico, en venta, Sup. 134 mt2., 78329708.;$us 95 500;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/us-95500-departamento-centrico/1982037
13;Santa Cruz Calle Libertad;2023-02-30;SANTA CRUZ Calle Libertad entre Buenos Aires y Florida, $us 395.000, 588 mts2. Ubicado en el centro histórico, a una cuadra de la plaza principal 24 de Septiembre, Telf. 72142899.;$us 395 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/santa-cruz-calle-libertad/1980857
14;Dueña Alquila Cuartos Zona;2023-02-30;DUEñA Alquila cuartos, zona puente Cobija, Rivereña #503. Telf. 76952645, 4408474.;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/duena-alquila-cuartos-zona/1982345
15;Dueña Alquila 3 Cuartos;2023-02-30;DUEñA Alquila 3 cuartos, cocina, baño, zona puente Cobija, Rivereña #402 entre Guaman Poma. Telf. 76952645, 4408474.;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/duena-alquila-3-cuartos/1982346
16;Vendo Hermosa Casa A;2023-02-30;VENDO hermosa casa, a estrenar, de 3 pisos, zona Coña Coña, Km 6, Av. Blanco Galindo. 75481717.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/vendo-hermosa-casa/1983429
17;Hermosa Casa Para Vivienda;2023-02-30;HERMOSA casa para vivienda y oficina, inmediaciones Cine Center, Cel./WP. 75900145, 530 m2.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/hermosa-casa-para-vivienda/1983430
18;Departamento Pentohuse Duplex 3;2023-02-30;DEPARTAMENTO pentohuse, duplex, 3 dormitorios, 3 baños, parrillero, jacuzzi, sauna, parqueo, 3 movilidades, WP. 75900145.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/departamento-pentohuse-duplex-3/1983439
19;Oficina Equipada Gerencia Subgerencia;2023-02-30;OFICINA equipada, gerencia, subgerencia, recibidor, 2 baños, cocineta, 2 garajes, baulera, inmediaciones Prado, WP. 75900145.;;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/oficina-equipada-gerencia-subgerencia/1983443
20;Local Comercial Salida A;2023-02-30;LOCAL COMERCIAL salida a calle, c/garaje, baño, cocineta, inmediaciones Estadium, Cel./WP. 75900145.;;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/local-comercial-salida/1983444
21;Casa Como Lote En;2023-02-30;CASA como lote, en venta, edificable, calle Diego de Almagro, entre Hernando de Soto y Nueva Granada Nro 444, Villa Galindo. Telf. 4442172, 65500720, 77976567, 77428011.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-como-lote-en/1983622
22;1 500 Bs Departamento;2023-02-30;1.500 BS. departamento, 2 dormitorios, roperos empotrados, living, cocina, Ladislao Cabrera 562 casi Lanza. 70772020.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/1-500-bs-departamento/1983639
23;Anticretico Departamento 2 Dormitorios;2023-02-30;ANTICRETICO departamento, 2 dormitorios, cocina, living comedor, baño, Pacata Baja. 77440152.;;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/anticretico-departamento-2-dormitorios/1983644
24;PequeÑa Casa En Anticrético;2023-02-30;PEQUEÑA  Casa en anticrético, 8 mil dólares totalmente independiente. Zona: Temporal. Inmobiliarias abstenerse. Cel: 62714055;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/pequena-casa-en-anticretico/1983806
25;Ocasion Lote Palmeras El;2023-02-30;OCASION lote Palmeras el mejor sector, frente a la capilla, lote cementerio Concordia. 72744410, 4787449.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/ocasion-lote-palmeras-el/1983824
26;Lote En Venta Km;2023-02-30;LOTE en venta, Km 7 1/2, Av. Chapare, por los Chicharrones originales, de Sacaba, precio 160 $us m2, ofertable, 3 lotes de 300 m2, en esquina, 3 lotes de 195.52 m2, 1 lote de 286.20 m2, para mayor Inf. llamar al Cel. 67481683.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-en-venta-km/1983825
27;En Venta Hermoso Lote;2023-02-30;En venta Hermoso lote de 1362. 00m2, Zona Lomas de Aranjuez, excelentes vistas, Dos frentes cada uno de 27. 00mts. fondo de 53. 00mts. Precio 580. 000 $us. Llamar ( 591)77966727;$us 580 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/en-venta-hermoso-lote/1983826
