;title;date;description;price;keys;path
0;Propietario Alquila Un Departamento;2023-02-23;PROPIETARIO  Alquila un departamento de dos dormitorios cerca a EPI Norte 70733482 4474673;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/propietario-alquila-un-departamento/1980827
1;85 000 $us Departamento;2023-02-22;85.000 $US departamento en anticrético, 1 dormitorio, sala, cocina y baño, zona norte. 75984046, 74571393, 4470200.;$us 85 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/85-000-us-departamento/1978634
2;Doy 2 Cuartos En;2023-02-22;DOY 2 CUARTOS en anticrético, baño independiente, patio grande y lavandería (zona norte, Melchor Perez y Kausillo). Ref. 75499396, 78306074.;;Cochabamba -  Anticrético -  Habitación;/anuncio/inmuebles/doy-2-cuartos-en/1978638
3;Urbanizacion Bella Vista Cochabamba;2023-02-22;URBANIZACION BELLA VISTA Cochabamba, hermosa casa, estilo vanguardista, detalles. Telèfono 65244969;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/urbanizacion-bella-vista-cochabamba/1978821
4;Edificio Verona Calle Inti;2023-02-22;"EDIFICIO ""VERONA"" Calle Inti Raymi casi Av. América frente al Parque José Marti. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con piscina, sauna, parrillero y área social. Cel. 67598803.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-verona-calle-inti/1978824
5;Edificio Tribeca Soho Av;2023-02-22;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con: piscina, sauna, parrillero y área social. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-tribeca-soho-av/1978825
6;Edificio Tribeca Soho Av;2023-02-22;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean, oficinas de: 34, 52, 56, 100 mts. del piso 1 al 3. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/edificio-tribeca-soho-av/1978843
7;Vendo Casa A Estrenar;2023-02-22;VENDO casa a estrenar, de 3 pisos, véalo sin compromiso, zona Coña Coña, Km 6, Av. Blanco Galindo al norte, 6 cuadras. 75481717.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/vendo-casa-estrenar/1979195
8;Dueño Vende Casa Como;2023-02-22;DUEñO vende casa como terreno, barrio periodista, América oeste, 270 mts, $us 145.000. 4422244, 69455890.;$us 145 000;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/dueno-vende-casa-como/1979222
9;Dueño Vende En Canarrancho;2023-02-22;DUEñO VENDE en Canarrancho, zona Santiaguilla, hay un mercadito, 2 chalets, a estrenar, amoblados, Sup. 198 m2, c/u y 3 lotes, 2 de 500 m2 y 400 m2, con 2 frentes, Av. Santa cruz y calle Innominada, documentos al día, acepto financiamiento. 75921115, 78348239.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/dueno-vende-en-canarrancho/1979301
10;Vendo Departamento América Casi;2023-02-22;VENDO Departamento América casi libertador 90 mts 3 dormitorios 2 baños sin garaje. Cel 70744006;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-departamento-america-casi/1979304
11;Propietario Vende Lotes En;2023-02-22;PROPIETARIO Vende lotes en urbanización zona Coña Coña Colcapirhua de 250 a 400 m2 con documentos en orden precios económicos Ref. 67498340;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/propietario-vende-lotes-en/1979359
12;Vendo Lote De 145;2023-02-22;VENDO Lote de 145 m2 cerca Stadium y Caja CORDES. Referencia 70342614;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/vendo-lote-de-145/1979372
13;Lote De 237 M2;2023-02-22;LOTE de 237 m2, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-de-237-m2/1979373
14;Lote $us 75 000;2023-02-22;LOTE $us 75.000, 305.91 m2, zona norte, Candelaria, todos los servicios, propietario. 69807425, en esquina.;$us 75 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-us-75-000/1979374
15;Propietario Vende Lote Con;2023-02-22;PROPIETARIO vende lote, con construcción antigua, 315.57 m2, zona Sarco, c/Araona y Yura care, frente Universidad Domingo Savio. Ref. 76936053, 71712450, 71712333.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/propietario-vende-lote-con/1979375
16;En Tiquipaya Casa Independiente;2023-02-22;EN TIQUIPAYA casa independiente, en alquiler, zona central, frente al Banco PRODEM, ideal para vivienda y negocio. Ref. Cel. 72214136, 70758369.;;Cochabamba -  Alquiler -  Casa / Chalet;/anuncio/inmuebles/en-tiquipaya-casa-independiente/1979448
17;Dueña Alquila Departamentos Amplios;2023-02-22;DUEñA alquila departamentos amplios, de 2 o 3 habitaciones, totalmente independiente. Cel. 62994992.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/duena-alquila-departamentos-amplios/1979488
18;Parque Demetrio Canelas Bonito;2023-02-22;PARQUE DEMETRIO CANELAS Bonito departamento, en alquiler, 4 dormitorios, living comedor, cocina, baño, garaje. Cel. 74307647.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/parque-demetrio-canelas-bonito/1979505
19;Alquiler O Anticrético Monoambiente;2023-02-22;ALQUILER o anticrético, monoambiente (2 personas), en la Lanza y Brasil. Ref. 70352246.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquiler-o-anticretico-monoambiente/1979542
20;Casita De 2 Habitaciones;2023-02-22;CASITA de 2 habitaciones y dependencias, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casita-de-2-habitaciones/1979619
21;Casita De 3 Habitaciones;2023-02-22;CASITA de 3 habitaciones y dependencias, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casita-de-3-habitaciones/1979620
22;Anticretico Local Comercial Independiente;2023-02-22;ANTICRETICO Local comercial independiente por estrenar, 70 mts2. Anìbal Capriles, 530 frente, plaza Incacollo, Muyurina. 70717160, 4230435;;Cochabamba -  Anticrético -  Local Comercial;/anuncio/inmuebles/anticretico-local-comercial-independiente/1979696
